,nombre_producto,precio
0,Cadena Hombre Plata 925 Grumet Plateado,63.490
1,Cadena Plata Fina 925 4mm 60cm Grumet Collar Hombre Plateado,92.490
2,Set De Plata 925 Hombre Mujer Collar Cadena Pulsera Elegante Plateado,29.990
3,Collar Cadena Plata 925 Hombre Mujer Regalo Dia Padre Joyas Plateado,28.450
4,Cadena Grumet Chapado Plata 925 8mm 37g Collar Hombre,29.990
5,Cadena Eslabones Colgante Punk Hombre Mujer Acero Inox Plata Color Plateado Tejido A,14.990
6,Collar Cadena De Plata 925 60cm X 5mm Para Hombre Mujer Color Plateado,39.693
7,Cadena Hombre Plata 925 Grumet Plateado,63.490
8,Conjunto Set Plata 925 Joya Elegante Collar Aros Cadena Moda,32.702
9,Cadena Torbillon Chapado Plata 925 4mm 23g Collar Hombre,14.990
10,Set De Plata 925 Hombre Mujer Collar Cadena Pulsera Elegante Plateado,29.990
11,Collar Cadena Plata 925 Hombre Elegante Mujer Regalo Moda Plateado,22.450
12,Collar Hombre Plata 925 Cadena Dia Padre Regalo Joya Moda Plateado,26.450
13,Cadena Grumet Chapado Plata 925 8mm 37g Collar Hombre,29.990
14,Cadena Torbillon Chapado Plata 925 4mm 23g Collar Hombre,14.990
15,Collar Cadena Plata 925 Hombre Elegante Mujer Regalo Moda Plateado,22.450
16,Collar Cadena Hello Kitty Para Niñas Plateado,4.990
17,Cadena Cartier Chapado Plata 925 4mm 13g Collar Hombre,14.990
18,Collar Cadena Cruz Mediana Lisa Hombre Plata 925 + Caja Rega Plateado,26.500
19,Collar Cadena Plata 925 Hombre Mujer Regalo Dia Padre Joyas Plateado,28.450
20,Conjunto Plata 925 Perla Collar Aros Mujer Dama Regalo Joya,32.720
21,Colgante Nudo Bruja Nórdica Plata Amuletos Collar Caballero Plata Antigua,20.090
22,Cadena Turbillon Plata Italiana 925 - 60 Cm Collar Hombre Plateado,67.690
23,Set Cadena + Pulsera Cartier Chapado Plata 925 4mm Collar Plateado,24.990
24,Set Cadena + Pulsera Cartier Chapado Plata 925 4mm Collar Plateado,24.990
25,Collar Plata 925 Cruz Cadena Hombre Mujer Dama Colgante Joya Plateado,22.450
26,Collar Cadena Plata 925 Hombre Elegante Mujer Regalo Varon Plateado,22.450
27,Collar Cadena De Plata 925 Elegante Mujer Hombre Regalo Joya Plateado,24.432
28,Colgante U De Chile Cadena Plata Italiana 925 Hombre Chuncho Plateado,105.990
29,Colgante Cruz San Benito Plata 925 + Cadena Plata Italiana Hombre Grumet 60 Cm Gruesa,78.990
30,Collar Plata Fina Italiana 925 - Cadena Hombre Grumet Plateado,118.990
31,Cadena Plata Fina 925 4mm 60cm Grumet Collar Hombre Plateado,92.490
32,Collar Cadena Cruz De Plata 925 Hombre Mujer Regalo Colgante Plateado,24.432
33,Cadena Plata Cartier 60 Cm Italiana 925 Plateado,63.490
34,Collar Cadena Cruz Con Jesus Hombre Plata 925 + Caja Regalo Plateado,28.500
35,Colgante Cruz San Benito Plata 925 Con Cadena Plata Italiana Hombre Cartier 60 Cm Mediana,64.990
36,Cadena Turbillon Plata 60 Cm Hombre Italiana 925 Plateado,94.890
37,Cadena Collar Cruz Amarrada Hombre Plata 925 + Caja De Regal Plateado,29.500
38,Cadena Hombre Doble Grumet Plata Italiana 925 - Collar Plateado,146.990
39,Collar Cadena De Plata 925 Elegante Mujer Hombre Regalo Joya Plateado,24.432
40,Collar Colgante Plata 925 Corazon Infinito Mujer Amor Regalo,47.990
41,Cadena Collar Cruz Amarrada G Hombre Plata 925 + Caja Regalo Plateado,46.000
42,Collar Colgante Plata 925 Cruz Regalo Elegante Mujer Hombre,22.414
43,Set Plata 925 Hombre Mujer Collar Cadena Pulsera Día Padre,56.990
44,Collar Hombre Plata 925 Cadena Dia Padre Regalo Joya Moda Plateado,26.450
45,Collar Colgante Plata 925 Corazón Hermana Regalo Elegante,22.450
46,Cadena Collar Estrella De David Mediana Hombre Plata 925 + C Plateado,24.500
47,Collar Plata 925 Cruz Cadena Hombre Mujer Dama Colgante Joya Plateado,22.450
48,Cadena Collar Cruz Grande Hombre Plata 925 + Caja Regalo Plateado,49.000
49,Cadena Turbillon Tourbillon Hombre 60cm Plata 925 + Caja Reg Plateado,37.500
50,Cadena Colo Colo Mediano Borde Liso Hombre Plata 925 + Caja Plateado,33.500
51,Cadena Cruz Lisa Gruesa Hombre Plata 925 + Caja Regalo Plateado,19.950
52,Cadena Collar Hombre Union Española Plata Ley 925 + Caja Reg Plateado,43.000
53,Collar Cadena Corazon Te Amo Hombre Plata 925 + Caja Regalo Plateado,29.950
54,Collar Plata 925 Cadena Cruz Mujer Dama Regalo Joyas Hombre Plateado,19.980
55,Cadena Collar Circulo Estrella 12 Puntas Hombre Plata 925 +c Plateado,29.990
56,Cadena Grumet 50cm Plata Fina Hipoalergenica 925 Hombre Plateado,54.990
57,Cadena Collar Herradura Caballo Detalles Hombre Plata 925 +c Plateado,33.000
58,Cadena Collar Cruz Amarrada Hombre Plata Ley 925 + Caja Rega Plateado,28.500
59,Collar Cadena Equipo Everton Hombre Plata Ley 925 + Caja Reg Plateado,38.000
60,Cadena Hombre Plata 925 Grumet Plateado,63.490
61,Cadena Plata Fina 925 4mm 60cm Grumet Collar Hombre Plateado,92.490
62,Set De Plata 925 Hombre Mujer Collar Cadena Pulsera Elegante Plateado,29.990
63,Collar Cadena Plata 925 Hombre Mujer Regalo Dia Padre Joyas Plateado,28.450
64,Conjunto Plata 925 Collar Aros Mujer Dama Regalo Juego Joyas,32.720
65,Collar Cadena Equipo Everton Hombre Plata Ley 925 + Caja Reg Plateado,38.000
66,Collar Cadena Jaguar Leopardo Hombre Plata 925 + Caja Regalo Plateado,19.500
67,Collar Cadena Hombre 60cm Plata Ley 925 + Caja Regalo Plateado,22.500
68,Cadena Collar Escapulario Hombre Mujer 65cm Plata 925 + Caja Plateado,38.500
69,Cadena Hija Niña Con Oso Para Hombre Plata 925 + Caja Regalo Plateado,31.500
70,Collar Cadena Trisquel Celta Hombre Plata 925 + Caja Regalo Plateado,22.500
71,Collar Cadena Plata 925 Hombre Elegante Mujer Regalo Varon Plateado,22.450
72,Collar Hombre Plata 925 Cadena Dia Padre Regalo Joya Moda Plateado,26.450
73,Cadena Grumet Chapado Plata 925 8mm 37g Collar Hombre,29.990
74,Cadena Torbillon Chapado Plata 925 4mm 23g Collar Hombre,14.990
75,Collar Cadena Plata 925 Hombre Elegante Mujer Regalo Moda Plateado,22.450
76,Cadena Hombre Cartier Plata Italiana 925 - 50 Cm Corta Plateado,61.500
77,Cadena Cruz Estrella De David Puntos Hombre Plata 925 + Caja Plateado,26.000
78,Cadena Collar Cruz Contorno Hombre Plata Ley 925 + Caja R Plateado,27.000
79,Cristo Cruz San Benito Chapado En Oro + Cadena Fina Hombre Clasica 60 Cm,89.990
80,Collar Colgante Plata 925 Estrella Joya Parejas Regalo Perla,24.450
81,Collar Colgante Plata 925 Timon Hombre Mujer Amor Regalo Plateado,29.432
82,Collar San Benito Plata 925 + Cadena Mujer Y Hombre Mujer Cartier 45 Cm,43.990
83,Conjunto Plata 925 Estrella Collar Aros Pendientes Mujer Sol,32.720
84,Set Cadena + Pulsera Cartier Chapado Plata 925 4mm Collar Plateado,24.990
85,Collar Plata 925 Cruz Cadena Hombre Mujer Dama Colgante Joya Plateado,22.450
86,Collar Cadena Plata 925 Hombre Elegante Mujer Regalo Varon Plateado,22.450
87,Collar Cadena De Plata 925 Elegante Mujer Hombre Regalo Joya Plateado,24.432
88,Colgante Cruz San Benito Plata 925 + Cadena Hombre Clasica 60 Cm,44.990
89,Cadena Collar Plata Ley 925 3 Mm Hombre Mujer 55 Cm Joyería Plata,26.690
90,Conjunto Plata 925 Elegante Collar Aros Joya Mujer Regalo,38.711
91,Juego Collar Y Aretes Mujer Plata 925 Cruz Hombre Aros Joya,26.450
92,Cadena Collar Letra Inicial Hombre Plata 925 + Caja Regalo,31.500
93,Collar Corazón Mujer Plata 925 Regalo Colgante Elegante,28.450
94,Conjunto Plata 925 Collar Aros Mujer Dama Regalo Juego Joya,32.720
95,Cadena Cartier 70cm 10gr Larga Plata Fina 925 Hombre Joven Plateado,99.990
96,Collar Cadena Plata 925 Elegante Mujer Hombre Regalo Joya Plateado,25.990
97,Collar Cadena Plata 925 Elegante Mujer Hombre Regalo Joya Plateado,19.980
98,Cadena Cartier 50cm Plata Fina Hipoalergenica 925 Hombre Plateado,39.990
99,Set Plata 925 Hombre Mujer Collar Pulsera Regalo Día Padre Plateado,33.720
100,Collar Plata 925 Hombre Mujer Turbillon Joya Regalo Cuban,28.450
101,Colgante Cruz Chica Y Cadena Plata Fina Hombre Joven Unisex Plateado,39.680
102,Collar Cadena Plata 925 Mujer Hombre Regalo Día Padre Joya Plateado,24.432
103,Collar Plata 925 Hoja Naturales Elegante Mujer Regalo Joya,26.450
104,Collar Plata 925 Mariposa Mujer Regalos Colgante Animal Joya,29.450
105,Cadena Tourbillon De Plata Fina 925 60 Cm Hombre Y Mujer Plateado,28.990
106,Collar Cadena Cruz De Plata 925 Hombre Mujer Regalo Colgante,27.450
107,Collar Plata 925 Ojo De Tigre Chakra Mujer Hombre Regalo,23.414
108,Collar Plata 925 Oso Novia Mujer Colgante Elegante Nina,24.450
109,Conjunto Plata 925 Corazón Collar Aros Pendientes Mujer Amor,32.720
110,Cadena Collar Equipo Futbol Ñublense Hombre P Plata 925 + Ca Plateado,34.000
111,Set Plata 925 Hombre Mujer Collar Cadena Pulsera Elegante,43.990
112,Collar Plata 925 Con Colgante Vintage Mujer Regalo Joya Amor,23.450
113,"Collar De Plata 925, Cadena 45 O 50 Cm, Regalo Hombre Mujer",27.450
114,Collar Cadena 1 Hijo O Niña G Para Papá Hombre Plata 925 + C,31.000
115,Cadena Hombre - Collar Exclusivo Cartier Plata Italiana 925 Plateado,110.990
